errorrate,n,tests
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
3.14416016984e-05,3,1000
6.601042384e-05,3,1000
3.8199138029e-05,3,1000
2.59208219237e-05,3,1000
1.43364144852e-05,3,1000
1.72258603516e-05,3,1000
2.65665528616e-05,3,1000
1.70708045397e-05,3,1000
3.51174644009e-05,3,1000
3.52249906091e-05,3,1000
0.000107131461755,4,1000
0.000127531755335,4,1000
0.000137187762364,4,1000
0.000123820529163,4,1000
8.4918284243e-05,4,1000
0.000138745201832,4,1000
7.83701775135e-05,4,1000
0.000125196212224,4,1000
7.69802564972e-05,4,1000
0.000108664295547,4,1000
0.00031211272607,5,1000
0.000244514768098,5,1000
0.00026880740562,5,1000
0.000282910419899,5,1000
0.000195785129992,5,1000
0.000197948294619,5,1000
0.000287977897155,5,1000
0.000171891463555,5,1000
0.000222446658521,5,1000
0.000206752760078,5,1000
0.000544993273479,6,1000
0.000489274779955,6,1000
0.000499342388746,6,1000
0.000581263408444,6,1000
0.000419356010259,6,1000
0.000489491110381,6,1000
0.000622527565274,6,1000
0.000515003865005,6,1000
0.000481418284212,6,1000
0.000566025374756,6,1000
0.000729751673077,7,1000
0.000674097400399,7,1000
0.000718718757905,7,1000
0.000680939070021,7,1000
0.000634772058719,7,1000
0.000779612912318,7,1000
0.000769835117321,7,1000
0.000774492083671,7,1000
0.000802807910566,7,1000
0.000697735141735,7,1000
0.000968726956146,8,1000
0.000971882776003,8,1000
0.00100649365833,8,1000
0.00109160898848,8,1000
0.00100616113749,8,1000
0.000915654616922,8,1000
0.00093400776339,8,1000
0.00100281103956,8,1000
0.000970621227607,8,1000
0.001096461604,8,1000
0.00147585361983,9,1000
0.00131405214387,9,1000
0.00110640693105,9,1000
0.00131802531925,9,1000
0.00114293235009,9,1000
0.00138419244831,9,1000
0.0014510406427,9,1000
0.00131336370593,9,1000
0.00134936861937,9,1000
0.00130595573762,9,1000
0.00169479281781,10,1000
0.00165287140119,10,1000
0.00178282542867,10,1000
0.00160930259305,10,1000
0.00180463698702,10,1000
0.00168525924402,10,1000
0.00189707482432,10,1000
0.00160479265203,10,1000
0.00164557680018,10,1000
0.00173490249013,10,1000
0.00198566219428,11,1000
0.00186927911737,11,1000
0.00199295014197,11,1000
0.00199579880132,11,1000
0.00186094190932,11,1000
0.00192950396862,11,1000
0.00208240510961,11,1000
0.00192928769568,11,1000
0.00210096975446,11,1000
0.00202537972497,11,1000
0.00248275432517,12,1000
0.00239459691901,12,1000
0.0025672252763,12,1000
0.00250677036968,12,1000
0.00240188115599,12,1000
0.00240842824844,12,1000
0.00237855290735,12,1000
0.00236539792488,12,1000
0.00235400317197,12,1000
0.0025622653666,12,1000
0.00283593891954,13,1000
0.00265055270385,13,1000
0.0028950636239,13,1000
0.00277332910175,13,1000
0.00266780452645,13,1000
0.00265868069399,13,1000
0.00288475941616,13,1000
0.00283620378469,13,1000
0.00273825627211,13,1000
0.00288761055631,13,1000
0.0031788154743,14,1000
0.0030750337384,14,1000
0.00295698244911,14,1000
0.00313928073921,14,1000
0.0031455361881,14,1000
0.00322358788599,14,1000
0.0032288235944,14,1000
0.00304963171587,14,1000
0.00295593516648,14,1000
0.00323372625858,14,1000
0.00352158232489,15,1000
0.00333766371845,15,1000
0.00346324614592,15,1000
0.00344887495681,15,1000
0.00386306822604,15,1000
0.00312896354033,15,1000
0.00347129310304,15,1000
0.0031873900433,15,1000
0.00320579922588,15,1000
0.0033121916782,15,1000
0.00384080107757,16,1000
0.00522874231127,20,100
0.00402857031137,17,100
0.00474965226701,17,100
0.00601894551862,25,100
0.00502178156786,19,100
0.00558169957288,19,100
0.0044453892524,19,100
0.00446349243199,19,100
0.00461456087327,19,100
0.00505750148757,19,100
0.00546683407802,19,100
0.00609767770798,19,100
0.00489711747965,19,100
0.00483717372028,19,100
0.00448550657387,20,100
0.00451685860289,20,100
0.00529405682139,20,100
0.00503354794826,20,100
0.00434063656553,20,100
0.0053613577256,20,100
0.00481768319246,20,100
0.00473305796781,20,100
0.00455740726282,20,100
0.00509756562595,21,100
0.00427635077475,21,100
0.00554317725738,21,100
0.00523412370089,21,100
0.00534892719376,21,100
0.00472880455758,21,100
0.0041180562535,16,100
0.00410125345632,16,100
0.00375860135223,16,100
0.00489863568876,16,100
0.00349376135663,16,100
0.0033598317803,16,100
0.0037469715952,16,100
0.00461258899382,16,100
0.00421633337388,16,100
0.00543019129399,21,100
0.00349645596307,17,100
0.00653657233007,17,100
0.0045091098938,17,100
0.00354380248235,17,100
0.00377464914634,17,100
0.00395550647319,17,100
0.00342419776396,17,100
0.00389520752084,17,100
0.00407259022874,17,100
0.00537443846213,21,100
0.00527408089934,18,100
0.00349056443848,18,100
0.00554597786096,21,100
0.00541372021807,18,100
0.00460593989742,18,100
0.00403354109664,18,100
0.00461602070967,18,100
0.00441869039357,18,100
0.00425581748486,18,100
0.0035881827444,18,100
0.00632608293102,23,100
0.00634223596867,23,100
0.00520441251606,23,100
0.00535626164908,23,100
0.00492479157695,23,100
0.00504996570053,23,100
0.00497410448965,23,100
0.006750242829,26,100
0.00686364377534,23,100
0.00531946822084,23,100
